Date,SPX Index,LUATTRUU Index,BBDXY Index,BCOM Index,COIN50I Index,XBTUSD BGN Curncy,XAU Curncy,FEDL01 Index
12/31/2020,3756.07,2559.4,1120.3,78.0543,100,28996.28,1898.36,0.09
1/1/2021,3756.07,2559.4,1120.3,78.0543,101.22,29250.59,1898.67,0.09
1/2/2021,3756.07,2559.4,1120.3,78.0543,101.22,29250.59,1898.67,0.09
1/3/2021,3756.07,2559.4,1120.3,78.0543,101.22,29250.59,1898.67,0.09
1/4/2021,3700.65,2559.08,1121.01,78.6378,121.8,31037.38,1942.9,0.09
1/5/2021,3726.86,2552.32,1115.61,80.3327,123.97,33792.24,1950.01,0.09
1/6/2021,3748.14,2536.68,1114.09,80.2747,134.39,35939.27,1918.61,0.09
1/7/2021,3803.79,2532.91,1120.65,80.3132,147.39,39733,1913.95,0.09
1/8/2021,3824.68,2529.23,1121.8,79.6586,148.04,40040.7,1849.01,0.09
1/9/2021,3824.68,2529.23,1121.8,79.6586,148.04,40040.7,1849.01,0.09
1/10/2021,3824.68,2529.23,1121.8,79.6586,148.04,40040.7,1849.01,0.09
1/11/2021,3799.61,2526.51,1127.05,79.4886,117.8,33964.38,1843.89,0.09
1/12/2021,3801.19,2525.64,1120.2,80.6256,126.67,34712.73,1854.77,0.09
1/13/2021,3809.84,2533.96,1122.9,80.6141,130.11,37283.48,1845.51,0.09
1/14/2021,3795.54,2527.98,1119.7,81.2161,147.44,38765.5,1846.53,0.09
1/15/2021,3768.25,2531.73,1126.25,80.4577,136.44,36261.52,1828.45,0.09
1/16/2021,3768.25,2531.73,1126.25,80.4577,136.44,36261.52,1828.45,0.09
1/17/2021,3768.25,2531.73,1126.25,80.4577,136.44,36261.52,1828.45,0.09
1/18/2021,3768.25,2531.73,1125.87,80.4577,146.86,36234.13,1841.26,0.09
1/19/2021,3798.91,2534.33,1123.73,80.0501,156.85,36489.64,1840.28,0.09
1/20/2021,3851.85,2534.87,1121.46,80.3019,142.25,34913.07,1871.84,0.09
1/21/2021,3853.07,2531.2,1118.87,80.2898,133.02,31217,1870.02,0.08
1/22/2021,3841.47,2533.26,1122.76,79.1128,138.49,33322.33,1855.61,0.08
1/23/2021,3841.47,2533.26,1122.76,79.1128,138.49,33322.33,1855.61,0.08
1/24/2021,3841.47,2533.26,1122.76,79.1128,138.49,33322.33,1855.61,0.08
1/25/2021,3855.36,2541.46,1124.93,79.9765,152.18,32701.29,1855.93,0.08
1/26/2021,3849.62,2540.66,1121.56,80.4799,138.6,32017.04,1850.92,0.08
1/27/2021,3750.77,2542.74,1128.79,80.4518,135.41,31005.85,1843.98,0.08
1/28/2021,3787.38,2538.29,1127.16,79.9919,143.29,33248.02,1843.17,0.07
1/29/2021,3714.24,2534.92,1129.9,80.0981,157.01,34641.09,1847.65,0.07
1/30/2021,3714.24,2534.92,1129.9,80.0981,157.01,34641.09,1847.65,0.07
1/31/2021,3714.24,2534.92,1129.9,80.0981,157.01,34641.09,1847.65,0.07
2/1/2021,3773.86,2536.34,1133.81,81.5962,144.74,33664.82,1860.78,0.08
