Date,ORDCI Development  Activity Index ,ORDCI Development Activity Index (7DMA),Pulse Scores ,Core Index Price
3/1/2019,247.5213675,210.0610501,55.11722609,451.82
3/2/2019,80.51282051,211.6239316,55.1613596,448.32
3/3/2019,37.77777778,213.7606838,55.54029965,443.62
3/4/2019,353.8461538,211.3675214,54.73043308,434.35
3/5/2019,312.991453,217.2771673,55.41343237,453.76
3/6/2019,304.1025641,222.979243,54.43671716,455.94
3/7/2019,300.5128205,223.4554335,54.27711055,458.72
3/8/2019,172.6495726,223.992674,54.51362443,460.4
3/9/2019,42.39316239,219.5604396,54.42644355,465.16
3/10/2019,31.45299145,219.7191697,52.48387931,460.24
3/11/2019,318.974359,219.3040293,53.17328863,452.98
3/12/2019,293.6752137,221.3797314,53.24287663,455.58
3/13/2019,366.3247863,221.4529915,53.33706274,453.52
3/14/2019,341.5384615,225.3724054,53.54715624,455.42
3/15/2019,265.8119658,228.8766789,53.71045046,463.7
3/16/2019,45.81196581,230.1831502,53.72524705,476.05
3/17/2019,38.11965812,227.7045177,54.44433048,475.12
3/18/2019,340.5128205,227.7289377,54.60970666,473.33
3/19/2019,336.7521368,226.7765568,54.24108019,475.17
3/20/2019,369.0598291,228.4737485,55.55236435,476.85
3/21/2019,321.3675214,233.1135531,56.08392548,468.98
3/22/2019,245.6410256,234.6031746,56.09850298,473.43
3/23/2019,61.70940171,239.8168498,55.60799465,473.58
3/24/2019,48.03418803,241.1965812,55.14542618,472.04
3/25/2019,417.6068376,242.3809524,55.80623691,468.42
3/26/2019,296.9230769,249.4261294,56.72900555,464.08
3/27/2019,263.4188034,249.6581197,56.759049,477.85
3/28/2019,371.6239316,242.3076923,57.00852766,478.38
3/29/2019,288.034188,244.4566545,58.08006877,485.09
3/30/2019,53.84615385,246.043956,60.16064475,484.46
3/31/2019,52.30769231,246.6178266,61.68538895,487.84
4/1/2019,302.2222222,247.6312576,62.224951,489.75
4/2/2019,363.4188034,244.8962149,63.87914621,559.18
4/3/2019,301.5384615,246.8009768,65.63036239,600.67
4/4/2019,306.4957265,241.978022,66.76097312,596.96
4/5/2019,263.5897436,240.9157509,66.17815248,598.2
4/6/2019,69.91452991,242.1978022,64.59216079,606.06
4/7/2019,22.05128205,242.7838828,65.39952706,617.31
4/8/2019,244.957265,240.9279609,65.99728959,630.68
4/9/2019,238.974359,228.5958486,64.80150925,624.8
4/10/2019,256.7521368,224.4566545,64.57138895,635.01
4/11/2019,204.957265,223.980464,64.60488654,597.25
4/12/2019,181.025641,212.0757021,64.77845098,602.53
4/13/2019,43.07692308,204.4322344,65.37732034,606.04
4/14/2019,51.62393162,203.6630037,64.00342154,603.01
4/15/2019,256.7521368,203.6141636,62.83648828,615.46
4/16/2019,253.1623932,200.3663004,62.00036615,602.33
4/17/2019,224.7863248,192.4908425,61.17277024,619.16
4/18/2019,211.7948718,187.008547,60.70200367,625.7
4/19/2019,96.41025641,180.2442002,61.70157115,625.11
4/20/2019,34.35897436,168.3028083,61.7346902,631.12
4/21/2019,21.53846154,165.7631258,62.33289381,621.96
4/22/2019,104.6153846,165.7264957,62.98674891,629.7
4/23/2019,280.5128205,155.7020757,64.50438148,655.89
4/24/2019,258.4615385,158.6691087,65.17484932,634.82
4/25/2019,216.9230769,158.7912088,65.52325261,634.94
4/26/2019,250.7692308,159.6459096,66.040025,607.53
4/27/2019,62.73504274,164.6275946,65.7243687,607.01
4/28/2019,56.06837607,166.031746,65.72323272,610.72
4/29/2019,264.957265,166.3492063,65.45310899,600.48
4/30/2019,276.4102564,166.9352869,64.50902113,620.18
5/1/2019,120.1709402,168.5958486,63.9723477,622.87
5/2/2019,324.6153846,161.1233211,62.58827964,636.29
5/3/2019,212.991453,169.1819292,61.9563691,672.64
5/4/2019,62.73504274,177.5091575,63.18516946,650.55
5/5/2019,38.29059829,179.5360195,64.02567331,665.63
5/6/2019,275.042735,180.7326007,64.71601198,663.15
5/7/2019,294.3589744,192.9059829,65.76665274,680.35
5/8/2019,232.6495726,193.8949939,66.64812109,679.52
5/9/2019,334.7008547,192.0512821,68.228847,689.62
5/10/2019,236.4102564,200.4639805,68.99969983,713.09
5/11/2019,49.4017094,199.4383394,71.71286257,775.79
5/12/2019,23.58974359,198.4859585,73.1277952,789.94
5/13/2019,288.5470085,196.1660562,73.87205991,846.38
5/14/2019,295.3846154,197.8510379,74.82461057,905.39
5/15/2019,290.9401709,199.2063492,75.9927938,908.9
5/16/2019,301.3675214,211.4041514,77.44564184,929.94
5/17/2019,267.3504274,209.7435897,78.2149867,836.72
