hourly_time,seller,buyer,tx_cnt,price,
2023-04-14 14:00:00.000 UTC,1,1,1,,
2023-04-14 16:00:00.000 UTC,1,1,1,,
2023-04-14 17:00:00.000 UTC,2,2,2,,
2023-04-14 19:00:00.000 UTC,1,51,52,1.46E-11,
2023-04-14 20:00:00.000 UTC,4,26,29,2.66E-11,
2023-04-14 21:00:00.000 UTC,6,35,43,6.24E-11,
2023-04-14 22:00:00.000 UTC,10,11,15,6.57E-11,
2023-04-14 23:00:00.000 UTC,6,23,30,1.10E-10,
2023-04-15 00:00:00.000 UTC,55,83,254,5.51E-10,
2023-04-15 01:00:00.000 UTC,24,59,103,7.49E-10,
2023-04-15 02:00:00.000 UTC,23,50,93,8.65E-10,
2023-04-15 03:00:00.000 UTC,30,78,148,1.35E-09,
2023-04-15 04:00:00.000 UTC,30,59,127,1.43E-09,
2023-04-15 05:00:00.000 UTC,19,49,79,1.49E-09,
2023-04-15 06:00:00.000 UTC,14,35,55,1.79E-09,
2023-04-15 07:00:00.000 UTC,18,35,54,1.88E-09,
2023-04-15 08:00:00.000 UTC,15,31,61,1.79E-09,
2023-04-15 09:00:00.000 UTC,11,31,51,1.53E-09,
2023-04-15 10:00:00.000 UTC,10,12,19,1.55E-09,
2023-04-15 11:00:00.000 UTC,11,14,26,1.72E-09,
2023-04-15 12:00:00.000 UTC,11,10,17,1.41E-09,
2023-04-15 13:00:00.000 UTC,3,13,16,1.68E-09,
2023-04-15 14:00:00.000 UTC,14,26,44,1.91E-09,
2023-04-15 15:00:00.000 UTC,10,8,16,1.77E-09,
2023-04-15 16:00:00.000 UTC,14,15,33,1.68E-09,
2023-04-15 17:00:00.000 UTC,9,24,28,1.85E-09,
2023-04-15 18:00:00.000 UTC,14,26,41,2.02E-09,
2023-04-15 19:00:00.000 UTC,41,80,195,2.99E-09,
2023-04-15 20:00:00.000 UTC,55,88,200,3.80E-09,
2023-04-15 21:00:00.000 UTC,43,60,143,3.53E-09,
2023-04-15 22:00:00.000 UTC,49,92,225,4.46E-09,
2023-04-15 23:00:00.000 UTC,66,142,336,6.26E-09,
2023-04-16 00:00:00.000 UTC,58,112,269,6.38E-09,
2023-04-16 01:00:00.000 UTC,48,105,234,5.08E-09,
2023-04-16 02:00:00.000 UTC,33,108,192,6.57E-09,
2023-04-16 03:00:00.000 UTC,64,125,306,8.43E-09,
2023-04-16 04:00:00.000 UTC,34,82,158,8.05E-09,
2023-04-16 05:00:00.000 UTC,37,58,158,8.37E-09,
2023-04-16 06:00:00.000 UTC,30,43,91,8.76E-09,
2023-04-16 07:00:00.000 UTC,29,45,107,7.73E-09,
2023-04-16 08:00:00.000 UTC,27,34,77,7.39E-09,
2023-04-16 09:00:00.000 UTC,24,44,93,8.52E-09,
2023-04-16 10:00:00.000 UTC,21,28,68,7.63E-09,
2023-04-16 11:00:00.000 UTC,35,44,101,6.66E-09,
2023-04-16 12:00:00.000 UTC,25,26,57,6.07E-09,
2023-04-16 13:00:00.000 UTC,28,59,102,7.64E-09,
2023-04-16 14:00:00.000 UTC,34,97,192,8.98E-09,
2023-04-16 15:00:00.000 UTC,38,86,166,9.84E-09,
2023-04-16 16:00:00.000 UTC,82,168,405,1.20E-08,
2023-04-16 17:00:00.000 UTC,102,212,529,1.30E-08,
2023-04-16 18:00:00.000 UTC,80,264,563,1.28E-08,
2023-04-16 19:00:00.000 UTC,91,313,625,1.55E-08,
2023-04-16 20:00:00.000 UTC,90,350,778,1.62E-08,
2023-04-16 21:00:00.000 UTC,148,451,971,1.88E-08,
2023-04-16 22:00:00.000 UTC,141,488,980,2.15E-08,
2023-04-16 23:00:00.000 UTC,109,345,723,1.91E-08,
2023-04-17 00:00:00.000 UTC,126,281,635,2.09E-08,
2023-04-17 01:00:00.000 UTC,101,257,526,2.01E-08,
2023-04-17 02:00:00.000 UTC,183,509,1171,2.82E-08,
2023-04-17 03:00:00.000 UTC,175,587,1230,3.08E-08,
2023-04-17 04:00:00.000 UTC,241,707,1555,4.08E-08,
2023-04-17 05:00:00.000 UTC,245,634,1464,4.43E-08,
2023-04-17 06:00:00.000 UTC,274,701,1579,5.42E-08,
2023-04-17 07:00:00.000 UTC,336,957,2209,6.52E-08,
2023-04-17 08:00:00.000 UTC,352,647,1655,4.59E-08,
2023-04-17 09:00:00.000 UTC,192,500,1059,5.14E-08,
2023-04-17 10:00:00.000 UTC,195,496,1091,5.57E-08,
2023-04-17 11:00:00.000 UTC,189,392,848,5.58E-08,
2023-04-17 12:00:00.000 UTC,190,359,843,5.29E-08,
2023-04-17 13:00:00.000 UTC,221,443,998,4.60E-08,
2023-04-17 14:00:00.000 UTC,141,285,569,4.70E-08,
2023-04-17 15:00:00.000 UTC,192,350,808,4.28E-08,
2023-04-17 16:00:00.000 UTC,266,495,1205,3.41E-08,
2023-04-17 17:00:00.000 UTC,165,444,908,4.32E-08,
2023-04-17 18:00:00.000 UTC,179,418,925,5.15E-08,
2023-04-17 19:00:00.000 UTC,186,347,709,5.51E-08,
2023-04-17 20:00:00.000 UTC,222,496,1053,6.15E-08,
2023-04-17 21:00:00.000 UTC,183,597,1191,6.47E-08,
2023-04-17 22:00:00.000 UTC,269,863,1767,7.38E-08,
2023-04-17 23:00:00.000 UTC,278,678,1483,7.00E-08,
2023-04-18 00:00:00.000 UTC,214,693,1344,7.56E-08,
2023-04-18 01:00:00.000 UTC,296,601,1374,7.19E-08,
2023-04-18 02:00:00.000 UTC,217,546,1054,6.67E-08,
2023-04-18 03:00:00.000 UTC,244,626,1308,7.93E-08,
2023-04-18 04:00:00.000 UTC,385,760,1718,8.61E-08,
