,asset,time,HashRate,ReferenceRateUSD
0,btc,2015-01-01 00:00:00+00:00,333345.017260144,320.662287258913
1,btc,2015-01-02 00:00:00+00:00,333345.017260144,314.77647194623
2,btc,2015-01-03 00:00:00+00:00,327284.198764505,315.942731735827
3,btc,2015-01-04 00:00:00+00:00,347486.927083302,285.647309760374
4,btc,2015-01-05 00:00:00+00:00,315162.561773228,263.334574810053
5,btc,2015-01-06 00:00:00+00:00,319203.107436987,275.003851548802
6,btc,2015-01-07 00:00:00+00:00,282838.196463153,287.549521040327
7,btc,2015-01-08 00:00:00+00:00,296980.106286311,297.535565166569
8,btc,2015-01-09 00:00:00+00:00,282838.196463153,284.342391876096
9,btc,2015-01-10 00:00:00+00:00,296980.106286311,292.501114552893
10,btc,2015-01-11 00:00:00+00:00,313142.288941348,276.230532144944
11,btc,2015-01-12 00:00:00+00:00,291349.141441684,268.755515488019
12,btc,2015-01-13 00:00:00+00:00,277602.083462638,268.617232028054
13,btc,2015-01-14 00:00:00+00:00,316947.260646319,224.108117767388
14,btc,2015-01-15 00:00:00+00:00,330062.319707546,175.637640561075
15,btc,2015-01-16 00:00:00+00:00,303832.201585092,212.341011396844
16,btc,2015-01-17 00:00:00+00:00,301646.358408221,207.595204850964
17,btc,2015-01-18 00:00:00+00:00,334434.006061289,199.824836645237
18,btc,2015-01-19 00:00:00+00:00,314761.417469448,211.132518410286
19,btc,2015-01-20 00:00:00+00:00,257929.494870797,216.894694915254
20,btc,2015-01-21 00:00:00+00:00,325690.633353804,211.919853886616
21,btc,2015-01-22 00:00:00+00:00,295088.828877607,227.904210403273
22,btc,2015-01-23 00:00:00+00:00,271044.553932025,233.647382817066
23,btc,2015-01-24 00:00:00+00:00,275416.240285767,233.132852425482
24,btc,2015-01-25 00:00:00+00:00,273230.397108896,249.08212390415
25,btc,2015-01-26 00:00:00+00:00,277602.083462638,254.51794126242
26,btc,2015-01-27 00:00:00+00:00,317507.026636064,273.952244886032
27,btc,2015-01-28 00:00:00+00:00,336476.453109996,264.753804500292
28,btc,2015-01-29 00:00:00+00:00,336476.453109996,235.735840444185
29,btc,2015-01-30 00:00:00+00:00,283132.625177924,233.957373465809
30,btc,2015-01-31 00:00:00+00:00,340579.824489386,228.896189947399
31,btc,2015-02-01 00:00:00+00:00,318011.28190274,217.332156049094
32,btc,2015-02-02 00:00:00+00:00,326218.024661521,227.111301285798
33,btc,2015-02-03 00:00:00+00:00,260564.082591277,240.092419929866
34,btc,2015-02-04 00:00:00+00:00,326218.024661521,227.775695791935
35,btc,2015-02-05 00:00:00+00:00,326218.024661521,226.781134132087
36,btc,2015-02-06 00:00:00+00:00,363148.367076033,217.011151081239
37,btc,2015-02-07 00:00:00+00:00,326218.024661521,222.724969316189
