,asset,time,HashRate,ReferenceRateUSD
0,btc,2014-01-01 00:00:00+00:00,12034.3221418728,729.557582910579
1,btc,2014-01-02 00:00:00+00:00,9425.136247148,752.404549944594
2,btc,2014-01-03 00:00:00+00:00,11352.6079123221,784.954921314436
3,btc,2014-01-04 00:00:00+00:00,9942.34605985975,807.222939029807
4,btc,2014-01-05 00:00:00+00:00,13609.0268762619,828.602062618352
5,btc,2014-01-06 00:00:00+00:00,13115.4352279001,902.487380263004
6,btc,2014-01-07 00:00:00+00:00,12480.817394292,914.459960841613
7,btc,2014-01-08 00:00:00+00:00,13609.0268762619,803.351796198714
8,btc,2014-01-09 00:00:00+00:00,14596.2101729856,820.690009503214
9,btc,2014-01-10 00:00:00+00:00,13185.9483205232,831.334750487434
10,btc,2014-01-11 00:00:00+00:00,14807.7494508549,853.298854844603
11,btc,2014-01-12 00:00:00+00:00,14596.2101729856,889.555837119345
12,btc,2014-01-13 00:00:00+00:00,14628.2406711142,845.191332220924
13,btc,2014-01-14 00:00:00+00:00,14411.3355551816,822.877012197545
14,btc,2014-01-15 00:00:00+00:00,16368.4305071198,815.293602711864
15,btc,2014-01-16 00:00:00+00:00,16457.3893685716,841.089857364115
16,btc,2014-01-17 00:00:00+00:00,13521.7469406642,815.854800298071
17,btc,2014-01-18 00:00:00+00:00,15478.8418926025,792.829506475745
18,btc,2014-01-19 00:00:00+00:00,15034.0475853438,809.783528356386
19,btc,2014-01-20 00:00:00+00:00,17346.977983089,838.428474734073
20,btc,2014-01-21 00:00:00+00:00,14767.1710009886,828.885216592636
21,btc,2014-01-22 00:00:00+00:00,17080.1013987337,823.817963763881
22,btc,2014-01-23 00:00:00+00:00,15745.7184769577,818.976386323787
23,btc,2014-01-24 00:00:00+00:00,18340.6657996556,810.922425195792
24,btc,2014-01-25 00:00:00+00:00,17994.3669102041,781.042513950906
25,btc,2014-01-26 00:00:00+00:00,16576.6289112183,804.403240800701
26,btc,2014-01-27 00:00:00+00:00,18975.8778325788,814.499381373466
27,btc,2014-01-28 00:00:00+00:00,16794.7424495238,742.701374970777
28,btc,2014-01-29 00:00:00+00:00,16576.6289112183,790.176401876096
29,btc,2014-01-30 00:00:00+00:00,19193.9913708843,793.38442490941
30,btc,2014-01-31 00:00:00+00:00,20066.4455241063,799.474479836353
