Name ,Ticker,Technology Security,Token Performance,Ecosystem Development,Team Partners Investors,Token Economics,Blockchain Architecture,Roadmap Progress
1inch,1INCH,88.90%,69.60%,62.65%,86.53%,63.27%,88.90%,60.67%
Aave,AAVE,81.85%,65.13%,48.85%,96.00%,50.80%,81.85%,80.00%
Alchemy Pay,ACH,55.35%,54.87%,50.00%,61.67%,55.33%,55.35%,69.20%
Cardano,ADA,69.80%,59.93%,64.25%,51.33%,64.00%,69.80%,82.00%
SingularityNET,AGI,75.15%,56.40%,48.40%,77.00%,51.07%,75.15%,74.87%
Akash Network,AKT,47.15%,45.87%,51.35%,53.67%,36.80%,47.15%,66.00%
Algorand,ALGO,66.55%,53.80%,62.10%,83.67%,66.07%,66.55%,73.67%
Ankr,ANKR,64.15%,60.73%,57.35%,83.00%,55.40%,64.15%,59.67%
Aragon,ANT,80.10%,56.27%,44.80%,42.67%,51.47%,80.10%,65.33%
Apecoin,APE2,68.50%,57.00%,43.95%,72.33%,56.20%,68.50%,65.67%
API3,API3,67.20%,48.40%,44.60%,64.67%,60.40%,67.20%,75.20%
Aptos,APTOS,69.10%,64.00%,43.25%,68.67%,74.73%,69.10%,70.00%
Arweave,AR,80.50%,50.87%,40.80%,72.00%,64.67%,80.50%,78.33%
Arbitrum,ARBIT,75.85%,71.47%,61.85%,83.33%,61.93%,75.85%,67.33%
Astar,ASTAR,60.25%,58.93%,51.05%,79.87%,63.80%,60.25%,79.00%
Cosmos (ATOM),ATOM,70.45%,63.60%,60.15%,96.00%,59.27%,70.45%,81.60%
Audius,AUDIO,65.95%,57.73%,39.85%,90.67%,62.20%,65.95%,79.33%
Avalanche,AVAX,82.90%,63.00%,40.20%,94.67%,75.00%,82.90%,77.67%
Axelar,AXR,78.60%,65.20%,21.65%,68.00%,53.67%,78.60%,45.33%
Axie Infinity,AXS,60.50%,57.87%,64.90%,68.67%,71.80%,60.50%,83.53%
Band Protocol,BAND,81.25%,62.07%,51.40%,64.00%,53.27%,81.25%,58.67%
Basic Attention Token,BAT,80.20%,61.20%,16.50%,85.33%,54.40%,80.20%,75.00%
Bitcoin Cash,BCH,33.75%,57.33%,30.95%,64.00%,84.67%,33.75%,62.67%
Beldex,BDX,51.55%,34.00%,38.10%,54.33%,72.87%,51.55%,77.00%
Biconomy,BICONOMY,75.45%,44.07%,36.15%,60.67%,54.20%,75.45%,52.53%
BLUR,BLUR,42.90%,62.60%,40.65%,65.33%,68.00%,42.90%,59.33%
Binance Coin,BNB,83.00%,54.73%,67.55%,82.33%,92.13%,83.00%,88.00%
Bancor,BNT,69.75%,62.47%,27.20%,69.33%,66.67%,69.75%,48.33%
BinaryX,BNX,48.60%,38.13%,43.35%,45.33%,58.00%,48.60%,70.00%
SwissBorg,CHSB,53.05%,39.20%,47.90%,68.33%,34.33%,53.05%,77.33%
Bitcoin SV,BSV,61.65%,61.80%,25.40%,47.00%,60.67%,61.65%,38.00%
Bitcoin,BTC,81.70%,60.67%,63.25%,77.20%,97.33%,81.70%,94.67%
BitTorrent,BTT,58.75%,52.00%,49.50%,87.33%,61.13%,58.75%,74.67%
Coin98,C98,73.05%,55.67%,34.40%,57.07%,46.07%,73.05%,54.33%
PancakeSwap,CAKE,79.90%,61.67%,69.15%,44.00%,98.67%,79.90%,81.33%
Celo,CELO,65.10%,65.53%,45.40%,88.67%,66.67%,65.10%,77.27%
Celer Network,CELR,76.45%,61.53%,29.30%,67.00%,53.07%,76.45%,37.33%
Conflux,CFX,67.55%,53.80%,51.45%,54.00%,61.13%,67.55%,62.87%
SwissBorg,CHSB,53.05%,39.20%,47.90%,68.33%,34.33%,53.05%,77.33%
Chiliz,CHZ,69.35%,56.07%,34.95%,64.00%,57.93%,69.35%,78.67%
Compound,COMP,70.35%,61.73%,48.55%,66.33%,65.27%,70.35%,73.00%
Crypto.com Coin,CRO,67.75%,58.87%,60.25%,60.20%,52.27%,67.75%,82.00%
Curve Finance,CRV,68.80%,68.33%,65.65%,69.33%,57.60%,68.80%,76.67%
Casper,CSPR,67.20%,49.47%,41.65%,80.00%,53.33%,67.20%,68.67%
Cartesi,CTSI,71.50%,66.80%,21.35%,55.00%,59.33%,71.50%,53.33%
Civic,CVC,61.95%,54.47%,42.10%,72.33%,34.67%,61.95%,49.00%
Convex Finance,CVX,70.95%,49.60%,47.25%,21.33%,66.67%,70.95%,74.00%
Dash,DASH,81.65%,64.93%,44.75%,79.00%,64.53%,81.65%,82.33%
DeFiChain,DFI,75.75%,42.93%,43.80%,44.33%,58.00%,75.75%,69.00%
Polkadot,DOT,74.80%,62.60%,37.05%,84.67%,60.00%,74.80%,87.00%
dYdX,DYDX,81.50%,61.40%,30.55%,85.33%,67.93%,81.50%,90.33%
Aelf,ELF,62.60%,47.00%,34.95%,57.67%,52.20%,62.60%,58.67%
Enjin Coin,ENJ,73.05%,59.87%,52.95%,76.00%,60.13%,73.05%,77.00%
Ethereum Name Service,ENS,86.10%,61.47%,49.10%,61.20%,65.80%,86.10%,73.67%
EOS,EOS,60.70%,65.07%,23.00%,62.33%,77.33%,60.70%,82.00%
Ethereum Classic,ETC,51.60%,62.67%,28.55%,90.67%,57.73%,51.60%,68.33%
Ethereum,ETH,80.50%,63.33%,67.30%,96.00%,90.00%,80.50%,97.33%
Ethereum Pow Fork IOU,ETH-P,41.25%,47.53%,29.30%,50.67%,61.33%,41.25%,55.67%
Fetch.ai,FET,56.20%,75.73%,34.90%,51.33%,63.33%,56.20%,52.67%
Filecoin,FIL,59.95%,63.27%,48.25%,78.33%,75.07%,59.95%,87.33%
Flow,FLOW,74.40%,55.87%,58.05%,93.33%,56.00%,74.40%,67.67%
Flare,FLR,50.60%,46.60%,39.45%,64.67%,71.73%,50.60%,56.00%
Flux,FLUX,64.75%,55.40%,52.00%,57.67%,62.67%,64.75%,75.33%
Fantom,FTM,67.50%,53.20%,57.80%,85.00%,64.67%,67.50%,74.00%
Fasttoken,FST,43.00%,53.67%,40.55%,45.33%,64.87%,43.00%,78.33%
Frax Share,FXS,72.60%,62.87%,42.85%,78.40%,54.33%,72.60%,56.67%
Project Galaxy,GALA,62.20%,53.60%,25.35%,76.00%,60.60%,62.20%,81.20%
Gala,GALA,45.35%,61.67%,52.35%,75.67%,52.67%,45.35%,73.33%
Golem,GLM,84.90%,44.40%,21.30%,73.00%,51.00%,84.90%,64.00%
Moonbeam,GLMR,55.50%,50.87%,31.15%,46.00%,36.67%,55.50%,56.33%
Stepn,GPL,50.55%,68.00%,38.50%,36.33%,63.53%,50.55%,57.67%
GMX,GMX,63.95%,56.80%,61.65%,41.33%,91.00%,63.95%,78.67%
The Graph,GRT,76.05%,62.13%,61.40%,88.00%,59.00%,76.05%,63.67%
Hedera Hashgraph,HBAR,64.75%,60.13%,50.95%,84.33%,65.67%,64.75%,83.33%
Holo,HOT,72.60%,57.80%,30.10%,23.33%,54.53%,72.60%,69.00%
Huobi Token,HT,54.00%,47.33%,34.95%,67.67%,57.40%,54.00%,77.00%
ICON,ICX,66.95%,49.67%,41.40%,81.67%,45.33%,66.95%,83.00%
Space ID,ID,58.50%,60.93%,38.90%,42.00%,47.87%,58.50%,65.33%
Illuvium,ILV,63.20%,47.40%,42.20%,72.20%,62.33%,63.20%,78.53%
Immutable X,IMX,68.80%,54.47%,51.00%,89.33%,69.33%,68.80%,56.00%
Injective Protocol,INJ,68.20%,71.80%,67.05%,64.53%,65.47%,68.20%,71.00%
IOST,IOST,63.90%,53.13%,32.50%,88.00%,52.00%,63.90%,68.00%
IoTeX,IOTX,62.25%,56.00%,59.25%,82.00%,70.00%,62.25%,81.00%
JOE,JOE,82.55%,50.00%,49.40%,44.33%,55.53%,82.55%,57.33%
JUST,JST,53.90%,52.00%,42.75%,46.33%,62.33%,53.90%,48.33%
Kava,KAVA,74.15%,59.87%,57.05%,62.00%,51.33%,74.15%,81.33%
Kadena,KDA,63.15%,45.47%,39.00%,94.67%,38.00%,63.15%,60.67%
Klaytn,KLAY,68.65%,47.73%,41.95%,64.33%,59.80%,68.65%,60.00%
Kyber Network Crystal,KNC,82.40%,65.60%,35.20%,68.00%,46.87%,82.40%,52.33%
